PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,1^Qualifier^STRING^^^^,2^EC50^FLOAT^uM^^^,3^LogEC50^FLOAT^^^^,4^Hill Slope^FLOAT^^^^,5^Hill S0^FLOAT^^^^,6^Hill Sinf^FLOAT^^^^,7^Hill dS^FLOAT^^^^,8^Chi Square^FLOAT^^^^,9^Rsquare^FLOAT^^^^,10^N DataPoints^INT^^^^,11^Activation at 95.1 uM^FLOAT^%^^^,12^Activation at 31.7 uM^FLOAT^%^^^,13^Activation at 10.6 uM^FLOAT^%^^^,14^Activation at 3.5 uM^FLOAT^%^^^,15^Activation at 1.2 uM^FLOAT^%^^^,16^Activation at 391.3 nM^FLOAT^%^^^,17^Activation at 130.4 nM^FLOAT^%^^^,18^Activation at 43.5 nM^FLOAT^%^^^,19^Activation at 14.5 nM^FLOAT^%^^^,20^Activation at 4.8 nM^FLOAT^%^^^
4250669,3244448,Inactive,26,,,=,16.53,-4.78,1.45,-10.58,95.69,106.27,-121.11,0.94,30,75.5,77.6,26,10.2,-5.1,-3.1,-10,-10.6,-23.2,-9
4250756,3244522,Active,43,,,=,5.024,-5.3,1.72,-12.59,95.6,108.2,160.2,0.99,20,78.7,88.1,66.4,37.6,1,-18.3,-10.5,-9.2,-8.3,-15.4
4250776,3244540,Active,35,,,=,9.088,-5.04,2.43,-15.6,134.12,149.72,-28.36,0.99,20,115.1,115.8,61.1,-2.9,-9.6,-19.1,-11.1,-21.9,-16,-15.6
4250963,3244708,Inactive,0,,,>,30,-4.52,,,,,,,20,94.6,46.3,17.3,9.8,6.7,0.7,-1.6,-3,-12,-4.6
4251043,3244779,Inactive,31,,,=,11.55,-4.94,5.21,-0.1,111.19,111.29,-8395.75,0.98,30,108.7,112.8,37.5,9.2,4.7,-1.7,-3.5,1.3,-8.7,-1.8
4251128,3244853,Active,38,,,=,7.231,-5.14,1.35,-10.37,102.22,112.59,48.99,0.97,20,87,87.8,58.7,27.3,0.6,-6.9,-16.2,-6.7,-1.3,-17.5
4251194,66541,Active,59,,,=,1.73,-5.76,1.77,-8.8,119.52,128.33,-8.69,0.99,20,111.6,109.8,104.7,84.5,29.9,-1.6,-3.6,-8.6,-10.6,-10.3
4251210,3244925,Inactive,22,,,=,22.08,-4.66,1.28,-11.82,127.28,139.1,-223.81,0.97,29,96.9,66.9,18.1,-52.2,-9.2,-8.8,-13.2,-14.6,-10.9,-12.5
4251984,800766,Active,48,,,=,3.599,-5.44,1.61,-10.11,128.24,138.35,-17.34,0.99,30,118.8,110,100.7,45.8,9,-6.2,-10.1,-10.7,-8,-13
4251992,3245603,Inactive,32,,,=,10.76,-4.97,2.62,-11.91,121.52,133.44,-40.47,0.97,20,104,109.6,46.2,-0.2,-6.8,-8.4,-13.4,-21,-14.6,-11.1
